eval_id,review_title_or_signal,customer_comment,human_label,sentiment,review_title,rating,review_id,agent_observation_text,agent_category,agent_confidence,agent_evidence,is_correct
E001,Battery/charging,Pepper grinder stopped working after about two weeks; different cables and outlets did not help.,stopped_working,negative,,,E001,pepper grinder stopped working after about two weeks; different cables and outlets did not help.,charging_failure,0.86,different cables,False
E002,Charging base,"Charging base no longer works, but each grinder can still be charged individually.",charging_base_failure,negative,,,E002,"charging base no longer works, but each grinder can still be charged individually.",charging_base_failure,0.88,base no longer works,True
E003,Charging pin,Charging pin spring got stuck and no longer contacts the charger.,charging_base_failure,negative,,,E003,charging pin spring got stuck and no longer contacts the charger.,charging_pin_contact_issue,0.9,charging pin,False
E004,Charging prongs,"One charging prong stuck in a retracted position, so the grinder cannot charge on the base.",charging_base_failure,negative,,,E004,"one charging prong stuck in a retracted position, so the grinder cannot charge on the base.",charging_pin_contact_issue,0.9,prong,False
E005,Charger stopped,"Worked well at first, but the charger stopped working.",charging_failure,negative,,,E005,"worked well at first, but the charger stopped working.",stopped_working,0.86,stopped working,False
E006,Base charging sensor,Charging base sensors are faulty and stop charging one grinder.,charging_base_failure,negative,,,E006,charging base sensors are faulty and stop charging one grinder.,unknown,0.4,charging base sensors are faulty and stop charging one grinder.,False
E007,Direct charging failure,Base stopped charging and direct charging one unit also stopped.,charging_failure,negative,,,E007,base stopped charging and direct charging one unit also stopped.,charging_failure,0.86,stopped charging,True
E008,Stopped recharging,"After three months, the grinders stopped charging even with other cords.",charging_failure,negative,,,E008,"after three months, the grinders stopped charging even with other cords.",charging_failure,0.86,stopped charging,True
E009,One unit broke,"One unit broke, so the reviewer does not recommend it.",stopped_working,negative,,,E009,"one unit broke, so the reviewer does not recommend it.",positive_feedback,0.75,recommend,False
E010,Coarseness issue,Salt and pepper do not grind fine enough even at the finest setting.,grinding_coarseness_issue,negative,,,E010,salt and pepper do not grind fine enough even at the finest setting.,grinding_power_issue,0.8,not grind,False
E011,Salt crystals stuck,Salt crystals sometimes get stuck during grinding.,grinding_stuck_issue,negative,,,E011,salt crystals sometimes get stuck during grinding.,salt_or_pepper_jamming,0.78,salt crystals,False
E012,Peppercorn trouble,Peppercorn grinding is variable and may require shaking and restarting.,grinding_stuck_issue,negative,,,E012,peppercorn grinding is variable and may require shaking and restarting.,grinding_power_issue,0.8,grinding is variable,False
E013,Pepper gets stuck,Pepper gets stuck a lot.,grinding_stuck_issue,negative,,,E013,pepper gets stuck a lot.,salt_or_pepper_jamming,0.78,gets stuck,False
E014,Messy dispensing,Dispenses too much salt and leaves salt or pepper in the cradle after use.,messy_dispensing,negative,,,E014,dispenses too much salt and leaves salt or pepper in the cradle after use.,messy_dispensing,0.82,too much salt,True
